sex,location,year,unemployment
F,CY,2010,6.4
F,CZ,2010,8.5
F,DE,2010,6.5
F,DK,2010,6.8
F,EE,2010,14.1
F,EL,2010,16.4
F,ES,2010,20.2
F,FI,2010,7.6
F,FR,2010,9.5
F,HR,2010,12.4
F,HU,2010,10.7
F,IE,2010,11.4
F,IS,2010,6.7
F,IT,2010,9.6
F,LT,2010,14.5
F,LU,2010,5.1
F,LV,2010,16.3
F,ME,2010,
F,MK,2010,32.3
F,MT,2010,7.1
F,NL,2010,5.5
F,NO,2010,2.9
F,PL,2010,10
F,PT,2010,12.1
F,RO,2010,6.2
F,RS,2010,20.4
F,SE,2010,8.5
F,SI,2010,7.1
F,SK,2010,14.6
F,TR,2010,11.4
F,UK,2010,6.9
M,AT,2010,5
M,BE,2010,8.1
M,BG,2010,10.9
M,CH,2010,4.5
M,CY,2010,6.2
M,CZ,2010,6.4
M,DE,2010,7.4
M,DK,2010,8.6
M,EE,2010,19.3
M,EL,2010,10.1
M,ES,2010,19.6
M,FI,2010,9.1
M,FR,2010,9.1
M,HR,2010,11.1
M,HU,2010,11.6
M,IE,2010,17.2
M,IS,2010,8.3
M,IT,2010,7.5
M,LT,2010,21.2
M,LU,2010,3.8
M,LV,2010,22.7
M,ME,2010,
M,MK,2010,31.9
M,MT,2010,6.7
M,NL,2010,4.5
M,NO,2010,4
M,PL,2010,9.4
M,PT,2010,10
M,RO,2010,7.6
M,RS,2010,18.5
M,SE,2010,8.7
M,SI,2010,7.5
M,SK,2010,14.2
M,TR,2010,10.4
M,UK,2010,8.6
T,AT,2010,4.8
T,BE,2010,8.3
T,BG,2010,10.3
T,CH,2010,4.8
T,CY,2010,6.3
T,CZ,2010,7.3
T,DE,2010,7
T,DK,2010,7.7
T,EE,2010,16.7
T,EL,2010,12.7
T,ES,2010,19.9
T,FI,2010,8.4
T,FR,2010,9.3
T,HR,2010,11.7
T,HU,2010,11.2
T,IE,2010,14.6
T,IS,2010,7.6
T,IT,2010,8.4
T,LT,2010,17.8
T,LU,2010,4.4
T,LV,2010,19.5
T,ME,2010,
T,MK,2010,32
T,MT,2010,6.9
T,NL,2010,5
T,NO,2010,3.5
T,PL,2010,9.7
T,PT,2010,11
T,RO,2010,7
T,RS,2010,19.3
T,SE,2010,8.6
T,SI,2010,7.3
T,SK,2010,14.4
T,TR,2010,10.7
T,UK,2010,7.8
F,AT,2009,5.1
F,BE,2009,8.1
F,BG,2009,6.6
F,CH,2009,4.5
F,CY,2009,5.5
F,CZ,2009,7.7
F,DE,2009,7.3
F,DK,2009,5.7
F,EE,2009,10.3
F,EL,2009,13.3
F,ES,2009,18.1
F,FI,2009,7.6
F,FR,2009,9.3
F,HR,2009,10.7
F,HU,2009,9.7
F,IE,2009,9.5
F,IS,2009,5.7
F,IT,2009,9.2
F,LT,2009,10.5
F,LU,2009,6.1
F,LV,2009,14.1
F,ME,2009,
F,MK,2009,32.8
F,MT,2009,7.6
F,NL,2009,4.9
F,NO,2009,2.6
F,PL,2009,8.7
F,PT,2009,10.3
F,RO,2009,5.8
F,RS,2009,
F,SE,2009,8
F,SI,2009,5.8
F,SK,2009,12.8
F,TR,2009,12.7
F,UK,2009,6.4
M,AT,2009,5.5
M,BE,2009,7.8
M,BG,2009,7
M,CH,2009,3.8
M,CY,2009,5.3
M,CZ,2009,5.9
M,DE,2009,8.1
M,DK,2009,7.1
M,EE,2009,16.7
M,EL,2009,7
M,ES,2009,17.7
M,FI,2009,8.9
M,FR,2009,9
M,HR,2009,7.9
M,HU,2009,10.3
M,IE,2009,15.1
M,IS,2009,8.6
M,IT,2009,6.7
M,LT,2009,17.1
M,LU,2009,4.4
M,LV,2009,20.9
M,ME,2009,
M,MK,2009,31.8
M,MT,2009,6.5
M,NL,2009,3.9
M,NO,2009,3.6
M,PL,2009,7.8
M,PT,2009,9
M,RO,2009,7.7
M,RS,2009,
M,SE,2009,8.7
M,SI,2009,5.9
M,SK,2009,11.4
M,TR,2009,12.6
M,UK,2009,8.5
T,AT,2009,5.3
T,BE,2009,7.9
T,BG,2009,6.8
T,CH,2009,4.1
T,CY,2009,5.4
T,CZ,2009,6.7
T,DE,2009,7.8
T,DK,2009,6.4
T,EE,2009,13.5
T,EL,2009,9.6
T,ES,2009,17.9
T,FI,2009,8.2
T,FR,2009,9.1
T,HR,2009,9.2
T,HU,2009,10
T,IE,2009,12.6
T,IS,2009,7.2
T,IT,2009,7.8
T,LT,2009,13.8
T,LU,2009,5.1
T,LV,2009,17.5
T,ME,2009,
T,MK,2009,32.2
T,MT,2009,6.9
T,NL,2009,4.4
T,NO,2009,3.1
T,PL,2009,8.2
T,PT,2009,9.6
T,RO,2009,6.9
T,RS,2009,
T,SE,2009,8.4
T,SI,2009,5.9
T,SK,2009,12
T,TR,2009,12.6
T,UK,2009,7.6
F,AT,2008,4.4
F,BE,2008,7.6
F,BG,2008,5.8
F,CH,2008,4
F,CY,2008,4.3
F,CZ,2008,5.6
F,DE,2008,7.7
F,DK,2008,4.1
F,EE,2008,5.1
F,EL,2008,11.5
F,ES,2008,12.8
F,FI,2008,6.7
F,FR,2008,7.9
F,HR,2008,10.4
F,HU,2008,8
F,IE,2008,5.7
F,IS,2008,2.6
F,IT,2008,8.5
F,LT,2008,5.6
F,LU,2008,6
F,LV,2008,7.1
F,ME,2008,
F,MK,2008,34.2
F,MT,2008,6.8
F,NL,2008,4.5
F,NO,2008,2.4
