index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
17515,SL,2008-08-17,82.5,,,Randy Johnson,117928,116615,,ball,,,,,9,,R,R,L,HOU,ARI,B,,,0,0,2008,-0.40054,0.4595766666666666,0.76,1.608,,110385.0,113889.0,2,2,Bot,,,,,,,080817_135655,-4.143,-120.075,-3.815,-2.798,26.41,-29.495,3.195,1.6,,,,,,,235610,116615,,,,,,,,,,,,,,,,,17,1,Slider,3,0,3,0,0,3,3,0,,
17518,FS,2008-05-24,82.5,,,Randy Johnson,116706,116615,field_out,hit_into_play,,,,,6,"Chipper Jones grounds out, shortstop Stephen Drew to first baseman Conor Jackson.",R,R,L,ATL,ARI,X,6.0,ground_ball,1,1,2008,1.3258225,0.94046,0.522,2.494,,,,0,6,Bot,112.45,153.61,,,,,080524_173146,-6.771,-119.832,-4.139,15.413,20.284,-24.488,3.67,1.7,,,,,,,234495,116615,,,,,,,,,,,,0.0,,0.0,0.0,,43,3,Split Finger,1,0,1,0,0,1,1,0,,
17533,FS,2008-09-18,82.5,,,Randy Johnson,400023,116615,,called_strike,,,,,12,,R,R,L,ARI,SF,S,,,0,0,2008,1.2037733333333331,1.19201,1.115,2.971,,,,1,4,Top,,,,,,,080918_192358,-5.625,-120.014,-3.353,13.987,23.088,-21.999,3.37,1.64,,,,,,,236046,116615,,,,,,,,,,,,,,,,,26,1,Split Finger,0,1,1,0,1,0,1,0,,
17553,SL,2008-05-24,82.5,,,Randy Johnson,453923,116615,,ball,,,,,13,,R,L,L,ATL,ARI,B,,,0,1,2008,0.06469416666666666,0.035596666666666665,-0.756,1.185,,,,0,5,Bot,,,,,,,080524_171100,-7.964,-119.78,-3.929,2.052,21.065,-33.783,3.145,1.42,,,,,,,234495,116615,,,,,,,,,,,,,,,,,34,2,Slider,1,0,1,0,0,1,1,0,,
17572,FS,2008-09-23,82.4,,,Randy Johnson,407886,116615,,swinging_strike,,,,,8,,R,R,L,STL,ARI,S,,,1,1,2008,0.7422966666666666,0.9767233333333332,0.028,1.734,,,,0,6,Bot,,,,,,,080923_204517,-6.28,-119.735,-5.55,8.901,27.799,-24.405,3.755,1.75,,,,,,,236102,116615,,,,,,,,,,,,,,,,,49,3,Split Finger,5,3,5,3,3,5,5,3,,
17575,SL,2008-04-20,82.4,,,Randy Johnson,150116,116615,,swinging_strike,,,,,5,,R,L,L,ARI,SD,S,,,1,1,2008,-0.5885541666666666,0.7846566666666666,-0.098,2.129,,,,0,5,Top,,,,,,,080420_141711,-3.836,-119.972,-3.057,-4.829,22.02,-26.123,3.38,1.5,,,,,,,234038,116615,,,,,,,,,,,,,,,,,32,3,Slider,1,1,1,1,1,1,1,1,,
17585,FS,2008-07-27,82.4,,,Randy Johnson,502034,116615,double_play,hit_into_play,,,,,2,"Emmanuel Burriss pops into unassisted double play, first baseman Tony Clark.    Fred Lewis doubled off 1st.",R,R,L,SF,ARI,X,3.0,popup,1,1,2008,0.959675,0.5761066666666665,-0.148,3.125,,,430930.0,0,3,Bot,148.59,164.66,,,,,080727_140000,-8.209,-119.717,-1.406,11.676,17.154,-28.186,3.38,1.5,,,,,,,235320,116615,,,,,,,,,,,,0.0,,0.0,0.0,,22,3,Split Finger,0,0,0,0,0,0,0,0,,
17587,SL,2008-07-27,82.4,,,Randy Johnson,134260,116615,single,hit_into_play_no_out,,,,,5,Bengie Molina singles on a line drive to left fielder Conor Jackson.,R,R,L,SF,ARI,X,,line_drive,2,1,2008,0.1170208333333333,0.03932333333333333,-0.22,2.323,,,,1,6,Bot,102.41,94.38,,,,,080727_150243,-6.274,-119.797,-2.096,2.681,14.485,-33.794,3.19,1.58,,,,,,,235320,116615,,,,,,,,,,,,0.9,,1.0,0.0,,53,4,Slider,0,6,0,6,6,0,0,6,,
17615,SL,2008-04-14,82.4,,,Randy Johnson,501814,116615,,foul,,,,,4,,R,R,L,SF,ARI,S,,,1,1,2008,0.2328075,0.2448633333333333,-0.293,2.481,,425489.0,430931.0,0,2,Bot,,,,,,,080414_200008,-7.648,-119.715,-2.284,3.738,25.751,-31.652,3.38,1.5,,,,,,,233947,116615,,,,,,,,,,,,,,,,,18,3,Slider,0,2,0,2,2,0,0,2,,
17620,FS,2008-09-18,82.4,,,Randy Johnson,400023,116615,,swinging_strike,,,,,14,,R,R,L,ARI,SF,S,,,1,0,2008,1.4964408333333332,0.4620133333333332,0.07,1.352,,,,2,6,Top,,,,,,,080918_195648,-8.953,-119.629,-4.501,16.972,22.619,-29.446,3.37,1.64,,,,,,,236046,116615,,,,,,,,,,,,,,,,,42,2,Split Finger,0,1,1,0,1,0,1,0,,
