sex,location,year,unemployment,country
T,HU3,2018,5,HU
T,IE0,2018,5.8,IE
T,IS0,2018,2.7,IS
T,ITC,2018,7,IT
T,ITF,2018,17.8,IT
T,ITG,2018,19.8,IT
T,ITH,2018,6,IT
T,ITI,2018,9.4,IT
T,LT0,2018,6.2,LT
T,LU0,2018,5.6,LU
T,LV0,2018,7.4,LV
T,ME0,2018,15.2,ME
T,MK0,2018,20.8,MK
T,MT0,2018,3.7,MT
T,NL1,2018,4.8,NL
T,NL2,2018,3.6,NL
T,NL3,2018,3.9,NL
T,NL4,2018,3.4,NL
T,NO0,2018,3.8,NO
T,PL2,2018,3.2,PL
T,PL4,2018,2.7,PL
T,PL5,2018,3.2,PL
T,PL6,2018,4,PL
T,PL7,2018,4.8,PL
T,PL8,2018,5.7,PL
T,PL9,2018,3.8,PL
T,PT1,2018,7,PT
T,PT2,2018,8.6,PT
T,PT3,2018,9,PT
T,RO1,2018,3.4,RO
T,RO2,2018,3.8,RO
T,RO3,2018,4.6,RO
T,RO4,2018,5.1,RO
T,RS1,2018,10.7,RS
T,RS2,2018,15,RS
T,SE1,2018,6.3,SE
T,SE2,2018,6.6,SE
T,SE3,2018,5.9,SE
T,SI0,2018,5.1,SI
T,SK0,2018,6.5,SK
T,TR1,2018,12.4,TR
T,TR2,2018,6.7,TR
T,TR3,2018,9.8,TR
T,TR4,2018,9.5,TR
T,TR5,2018,8.9,TR
T,TR6,2018,12.1,TR
T,TR7,2018,12.2,TR
T,TR8,2018,6.6,TR
T,TR9,2018,6.1,TR
T,TRA,2018,6.4,TR
T,TRB,2018,14.9,TR
T,TRC,2018,17.9,TR
T,UKC,2018,4.9,UK
T,UKD,2018,4,UK
T,UKE,2018,4.7,UK
T,UKF,2018,4.3,UK
T,UKG,2018,4.9,UK
T,UKH,2018,3.1,UK
T,UKI,2018,4.7,UK
T,UKJ,2018,3.4,UK
T,UKK,2018,3,UK
T,UKL,2018,4.1,UK
T,UKM,2018,3.8,UK
T,UKN,2018,3.6,UK
F,AT1,2017,6.6,AT
F,AT2,2017,4.3,AT
F,AT3,2017,3.6,AT
F,BE1,2017,14.7,BE
F,BE2,2017,4.8,BE
F,BE3,2017,8.9,BE
F,BG3,2017,8.4,BG
F,BG4,2017,3.8,BG
F,CH0,2017,5.1,CH
F,CY0,2017,11.3,CY
F,CZ0,2017,3.6,CZ
F,DE1,2017,2.8,DE
F,DE2,2017,2.2,DE
F,DE3,2017,6.4,DE
F,DE4,2017,3.6,DE
F,DE5,2017,3.3,DE
F,DE6,2017,3.8,DE
F,DE7,2017,2.7,DE
F,DE8,2017,4.7,DE
F,DE9,2017,3.3,DE
F,DEA,2017,3.3,DE
F,DEB,2017,2.9,DE
F,DEC,2017,3.5,DE
F,DED,2017,4.4,DE
F,DEE,2017,6.2,DE
F,DEF,2017,2.8,DE
F,DEG,2017,4.2,DE
F,DK0,2017,6.1,DK
F,EE0,2017,5.3,EE
F,EL3,2017,24.8,EL
F,EL4,2017,21.9,EL
F,EL5,2017,28.5,EL
F,EL6,2017,27.2,EL
F,ES1,2017,15.5,ES
F,ES2,2017,13.3,ES
F,ES3,2017,13.9,ES
F,ES4,2017,22.7,ES
F,ES5,2017,16.3,ES
F,ES6,2017,27.7,ES
F,ES7,2017,26,ES
F,FI1,2017,8.4,FI
F,FI2,2017,,FI
F,FR1,2017,8.7,FR
F,FRB,2017,8.4,FR
F,FRC,2017,8.8,FR
F,FRD,2017,9.6,FR
F,FRE,2017,11.2,FR
F,FRF,2017,9.6,FR
F,FRG,2017,7.1,FR
F,FRH,2017,7.7,FR
F,FRI,2017,9.4,FR
F,FRJ,2017,9.9,FR
F,FRK,2017,7.6,FR
F,FRL,2017,9.9,FR
F,FRM,2017,13.5,FR
F,FRY,2017,23.1,FR
F,HR0,2017,11.9,HR
F,HU1,2017,3,HU
F,HU2,2017,3.9,HU
F,HU3,2017,6.4,HU
F,IE0,2017,6.3,IE
F,IS0,2017,2.7,IS
F,ITC,2017,8.7,IT
F,ITF,2017,21.9,IT
F,ITG,2017,21.5,IT
F,ITH,2017,7.7,IT
F,ITI,2017,11,IT
F,LT0,2017,5.7,LT
F,LU0,2017,5.5,LU
F,LV0,2017,7.7,LV
F,ME0,2017,17,ME
F,MK0,2017,21.8,MK
F,MT0,2017,4.3,MT
F,NL1,2017,6.5,NL
F,NL2,2017,5.3,NL
F,NL3,2017,5.2,NL
F,NL4,2017,4.7,NL
F,NO0,2017,3.7,NO
F,PL2,2017,3.7,PL
F,PL4,2017,3.5,PL
F,PL5,2017,5.4,PL
F,PL6,2017,5.6,PL
F,PL7,2017,5.1,PL
F,PL8,2017,7.4,PL
F,PL9,2017,4.8,PL
F,PT1,2017,9.4,PT
F,PT2,2017,8.2,PT
F,PT3,2017,10.6,PT
F,RO1,2017,3.2,RO
F,RO2,2017,3.3,RO
F,RO3,2017,4.8,RO
F,RO4,2017,5.1,RO
F,RS1,2017,13,RS
F,RS2,2017,15.9,RS
F,SE1,2017,6.9,SE
F,SE2,2017,6.3,SE
F,SE3,2017,5.8,SE
F,SI0,2017,7.5,SI
F,SK0,2017,8.4,SK
F,TR1,2017,18.4,TR
F,TR2,2017,11.3,TR
F,TR3,2017,13.1,TR
F,TR4,2017,13.6,TR
F,TR5,2017,13.1,TR
F,TR6,2017,15.1,TR
F,TR7,2017,18,TR
F,TR8,2017,8,TR
F,TR9,2017,4,TR
F,TRA,2017,5,TR
F,TRB,2017,10.6,TR
F,TRC,2017,17.7,TR
F,UKC,2017,5,UK
F,UKD,2017,3.8,UK
F,UKE,2017,4.3,UK
F,UKF,2017,4,UK
F,UKG,2017,5.7,UK
F,UKH,2017,3.7,UK
F,UKI,2017,5.7,UK
F,UKJ,2017,3.3,UK
F,UKK,2017,3.9,UK
F,UKL,2017,4.2,UK
F,UKM,2017,3.6,UK
F,UKN,2017,3.2,UK
M,AT1,2017,8.4,AT
M,AT2,2017,4.9,AT
M,AT3,2017,3.7,AT
M,BE1,2017,15,BE
M,BE2,2017,4,BE
M,BE3,2017,10.4,BE
M,BG3,2017,8.5,BG
M,BG4,2017,4.3,BG
M,CH0,2017,4.6,CH
M,CY0,2017,10.9,CY
M,CZ0,2017,2.3,CZ
M,DE1,2017,3,DE
M,DE2,2017,2.4,DE
M,DE3,2017,7.5,DE
M,DE4,2017,5.3,DE
M,DE5,2017,5.2,DE
M,DE6,2017,4.5,DE
M,DE7,2017,3.8,DE
M,DE8,2017,5.5,DE
M,DE9,2017,4.2,DE
M,DEA,2017,4.8,DE
M,DEB,2017,3.7,DE
