,id,name,description,State,StateCode,CityCodeSmall,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
119,4305959,Cotiporã,Cotiporã,RS,43,5959,Cotiporã,"3,838",Sim,2.0,9.0,10.0,4.0
120,4305975,Coxilha,Coxilha,RS,43,5975,Coxilha,"2,743",Sim,2.0,1.0,7.0,1.0
121,4306007,Crissiumal,Crissiumal,RS,43,6007,Crissiumal,"13,357",Sim,7.0,7.0,36.0,0.0
122,4306056,Cristal,Cristal,RS,43,6056,Cristal,"8,067",Sim,7.0,4.0,13.0,4.0
123,4306072,Cristal do Sul,Cristal do Sul,RS,43,6072,Cristal do Sul,"2,844",Sim,1.0,1.0,7.0,1.0
124,4306106,Cruz Alta,Cruz Alta,RS,43,6106,Cruz Alta,"59,922",Sim,75.0,48.0,125.0,20.0
125,4306130,Cruzaltense,Cruzaltense,RS,43,6130,Cruzaltense,"1,799",Sim,1.0,1.0,8.0,1.0
126,4306205,Cruzeiro do Sul,Cruzeiro do Sul,RS,43,6205,Cruzeiro do Sul,"12,402",Sim,2.0,3.0,18.0,2.0
127,4306304,David Canabarro,David Canabarro,RS,43,6304,David Canabarro,"4,736",Sim,2.0,2.0,9.0,2.0
128,4306320,Derrubadas,Derrubadas,RS,43,6320,Derrubadas,"2,761",Sim,1.0,1.0,9.0,1.0
129,4306353,Dezesseis de Novembro,Dezesseis de Novembro,RS,43,6353,Dezesseis de Novembro,"2,378",Sim,6.0,1.0,7.0,5.0
130,4306379,Dilermando de Aguiar,Dilermando de Aguiar,RS,43,6379,Dilermando de Aguiar,"3,002",Sim,1.0,1.0,8.0,1.0
131,4306403,Dois Irmãos,Dois Irmãos,RS,43,6403,Dois Irmãos,"33,119",Sim,16.0,8.0,34.0,8.0
132,4306429,Dois Irmãos das Missões,Dois Irmãos das Missões,RS,43,6429,Dois Irmãos das Missões,"2,008",Sim,1.0,2.0,6.0,2.0
133,4306452,Dois Lajeados,Dois Lajeados,RS,43,6452,Dois Lajeados,"3,405",Sim,1.0,1.0,7.0,1.0
134,4306502,Dom Feliciano,Dom Feliciano,RS,43,6502,Dom Feliciano,"15,487",Sim,3.0,3.0,25.0,3.0
135,4306551,Dom Pedro de Alcântara,Dom Pedro de Alcântara,RS,43,6551,Dom Pedro de Alcântara,"2,527",Sim,4.0,1.0,9.0,3.0
136,4306601,Dom Pedrito,Dom Pedrito,RS,43,6601,Dom Pedrito,"38,339",Sim,7.0,7.0,31.0,7.0
137,4306700,Dona Francisca,Dona Francisca,RS,43,6700,Dona Francisca,"2,999",Sim,2.0,2.0,8.0,2.0
138,4306734,Doutor Maurício Cardoso,Doutor Maurício Cardoso,RS,43,6734,Doutor Maurício Cardoso,"4,462",Sim,5.0,3.0,14.0,2.0
139,4306759,Doutor Ricardo,Doutor Ricardo,RS,43,6759,Doutor Ricardo,"1,975",Sim,3.0,2.0,5.0,2.0
140,4306767,Eldorado do Sul,Eldorado do Sul,RS,43,6767,Eldorado do Sul,"41,902",Sim,3.0,3.0,13.0,5.0
141,4306809,Encantado,Encantado,RS,43,6809,Encantado,"22,880",Sim,11.0,8.0,40.0,11.0
142,4306908,Encruzilhada do Sul,Encruzilhada do Sul,RS,43,6908,Encruzilhada do Sul,"25,960",Sim,10.0,5.0,52.0,5.0
143,4306924,Engenho Velho,Engenho Velho,RS,43,6924,Engenho Velho,982,Sim,4.0,2.0,7.0,2.0
144,4306932,Entre-Ijuís,Entre-Ijuís,RS,43,6932,Entre-Ijuís,"8,411",Sim,3.0,3.0,23.0,3.0
145,4306957,Entre Rios do Sul,Entre Rios do Sul,RS,43,6957,Entre Rios do Sul,"2,758",Sim,1.0,1.0,8.0,1.0
146,4306973,Erebango,Erebango,RS,43,6973,Erebango,"2,982",Sim,1.0,1.0,5.0,2.0
147,4307005,Erechim,Erechim,RS,43,7005,Erechim,"106,633",Sim,18.0,18.0,94.0,18.0
148,4307054,Ernestina,Ernestina,RS,43,7054,Ernestina,"3,170",Sim,2.0,1.0,8.0,1.0
149,4307104,Herval,Herval,RS,43,7104,Herval,"6,814",Sim,3.0,3.0,18.0,3.0
150,4307203,Erval Grande,Erval Grande,RS,43,7203,Erval Grande,"4,819",Sim,0.0,5.0,13.0,4.0
151,4307302,Erval Seco,Erval Seco,RS,43,7302,Erval Seco,"6,802",Sim,3.0,3.0,20.0,3.0
152,4307401,Esmeralda,Esmeralda,RS,43,7401,Esmeralda,"3,287",Sim,2.0,1.0,7.0,1.0
153,4307450,Esperança do Sul,Esperança do Sul,RS,43,7450,Esperança do Sul,"2,885",Sim,4.0,2.0,10.0,3.0
154,4307500,Espumoso,Espumoso,RS,43,7500,Espumoso,"15,591",Sim,17.0,4.0,20.0,9.0
155,4307559,Estação,Estação,RS,43,7559,Estação,"5,940",Sim,6.0,3.0,11.0,2.0
156,4307609,Estância Velha,Estância Velha,RS,43,7609,Estância Velha,"50,672",Sim,32.0,9.0,32.0,7.0
157,4307708,Esteio,Esteio,RS,43,7708,Esteio,"83,279",Sim,13.0,13.0,70.0,23.0
158,4307807,Estrela,Estrela,RS,43,7807,Estrela,"34,399",Sim,6.0,3.0,15.0,3.0
159,4307815,Estrela Velha,Estrela Velha,RS,43,7815,Estrela Velha,"3,650",Sim,2.0,3.0,9.0,2.0
160,4307831,Eugênio de Castro,Eugênio de Castro,RS,43,7831,Eugênio de Castro,"2,352",Sim,1.0,1.0,9.0,1.0
161,4307864,Fagundes Varela,Fagundes Varela,RS,43,7864,Fagundes Varela,"2,741",Sim,3.0,2.0,6.0,1.0
162,4307906,Farroupilha,Farroupilha,RS,43,7906,Farroupilha,"73,061",Sim,16.0,10.0,28.0,9.0
163,4308003,Faxinal do Soturno,Faxinal do Soturno,RS,43,8003,Faxinal do Soturno,"6,663",Sim,2.0,3.0,15.0,2.0
164,4308052,Faxinalzinho,Faxinalzinho,RS,43,8052,Faxinalzinho,"2,284",Sim,1.0,1.0,6.0,1.0
165,4308078,Fazenda Vilanova,Fazenda Vilanova,RS,43,8078,Fazenda Vilanova,"4,608",Sim,2.0,2.0,10.0,2.0
166,4308102,Feliz,Feliz,RS,43,8102,Feliz,"13,640",Sim,8.0,4.0,27.0,4.0
167,4308201,Flores da Cunha,Flores da Cunha,RS,43,8201,Flores da Cunha,"31,063",Sim,9.0,5.0,17.0,5.0
168,4308250,Floriano Peixoto,Floriano Peixoto,RS,43,8250,Floriano Peixoto,"1,737",Sim,4.0,2.0,5.0,1.0
169,4308300,Fontoura Xavier,Fontoura Xavier,RS,43,8300,Fontoura Xavier,"10,241",Sim,4.0,4.0,21.0,4.0
170,4308409,Formigueiro,Formigueiro,RS,43,8409,Formigueiro,"6,616",Sim,2.0,2.0,16.0,2.0
171,4308433,Forquetinha,Forquetinha,RS,43,8433,Forquetinha,"2,400",Sim,,,,
172,4308458,Fortaleza dos Valos,Fortaleza dos Valos,RS,43,8458,Fortaleza dos Valos,"4,285",Sim,2.0,2.0,9.0,2.0
173,4308508,Frederico Westphalen,Frederico Westphalen,RS,43,8508,Frederico Westphalen,"31,498",Sim,5.0,7.0,25.0,10.0
